name,category,address,lat,lng,rating,user_ratings_total,price_level,summary,phone,website,opening_hours,place_id
Djungel & Jazz,Jazz Bar,"Hökens gata 10, 116 46 Stockholm, Sweden",59.318046599999995,18.0732435,4.8,52,,,08-37 39 99,https://djungelochjazz.se/,Monday: 12:00 – 7:00 PM; Tuesday: 12:00 – 7:00 PM; Wednesday: 12:00 – 7:00 PM; Thursday: 12:00 – 7:00 PM; Friday: 12:00 – 7:00 PM; Saturday: 12:00 – 5:00 PM; Sunday: Closed,ChIJ-8ZuKfl3X0YRnkc3ZY1ldKo
Södra Teatern,Jazz Bar,"Mosebacke Torg 1, 3, 116 46 Stockholm, Sweden",59.31838359999999,18.0743121,4.2,3483,,"Ornate 19th-century theater featuring touring rock, indie & jazz bands, plus live DJ club nights.",,http://sodrateatern.com/,,ChIJWaiBbPt3X0YRG3urnorlNUk
Rost,Jazz Bar,"Wollmar Yxkullsgatan 52, 118 50 Stockholm, Sweden",59.315669699999994,18.052698799999998,4.5,607,MODERATE,,072-303 32 98,http://www.roststockholm.se/,Monday: Closed; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 10:00 PM; Thursday: 5:00 – 10:00 PM; Friday: 4:00 – 11:00 PM; Saturday: 4:00 – 11:00 PM; Sunday: Closed,ChIJ6zdhb-h3X0YRdt5BuBqUgPQ
Musikvalvet BAGGEN,Jazz Bar,"Svartmangatan 27, 111 29 Stockholm, Sweden",59.323680599999996,18.0731602,4.5,39,,,,http://musikvalvet.se/,,ChIJ_eSvxOJ3X0YR1fR0MT33GNg
Twang,Jazz Bar,"Katarina Bangata 25, 116 39 Stockholm, Sweden",59.3117105,18.0787879,4.5,421,INEXPENSIVE,,08-642 52 05,http://www.twang.se/,Monday: Closed; Tuesday: 1:00 – 10:00 PM; Wednesday: 1:00 – 10:00 PM; Thursday: 1:00 – 10:00 PM; Friday: 1:00 – 11:00 PM; Saturday: 1:00 – 11:00 PM; Sunday: 1:00 – 10:00 PM,ChIJsxw1Yxx4X0YRhN8FsKwLXak
Lilla Hotellbaren,Jazz Bar,"Folkungagatan 47, 116 22 Stockholm, Sweden",59.31439779999999,18.0739952,3.7,164,MODERATE,,08-517 347 00,https://www.scandichotels.se/hotell/sverige/stockholm/scandic-malmen/restaurang-bar/lilla-hotellbaren,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 5:00 PM – 12:00 AM; Friday: 5:00 PM – 2:00 AM; Saturday: 5:00 PM – 2:00 AM; Sunday: Closed,ChIJAyNge_p3X0YRuzDIC93hTNQ
Champagnebaren,Jazz Bar,"Mosebacke Torg 1, 3, 116 46 Stockholm, Sweden",59.318427899999996,18.0743702,4.2,62,,,,https://sodrateatern.com/champagnebaren/,Monday: Closed; Tuesday: 5:00 – 11:00 PM; Wednesday: 5:00 – 11:00 PM; Thursday: 5:00 – 11:00 PM; Friday: 4:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: Closed,ChIJVVV0bft3X0YRV__UGQG2vb8
Pet Sounds Bar,Jazz Bar,"Stadsgården 6, 116 45 Stockholm, Sweden",59.319556199999994,18.0733917,4,53,,,08-35 11 80,https://petsounds.se/bar,Monday: Closed; Tuesday: 4:00 PM – 12:00 AM; Wednesday: 4:00 PM – 12:00 AM; Thursday: 4:00 PM – 12:00 AM; Friday: 4:00 PM – 12:00 AM; Saturday: 4:00 PM – 12:00 AM; Sunday: Closed,ChIJ9SHmTgB3X0YRYoWgSddtOHc
Snotty Sound Bar,Jazz Bar,"Skånegatan 90, 116 37 Stockholm, Sweden",59.312437599999996,18.081740099999998,4.4,267,MODERATE,,,,Monday: 4:00 PM – 1:00 AM; Tuesday: 4:00 PM – 1:00 AM; Wednesday: 4:00 PM – 1:00 AM; Thursday: 4:00 PM – 1:00 AM; Friday: 4:00 PM – 1:00 AM; Saturday: 4:00 PM – 1:00 AM; Sunday: 4:00 PM – 1:00 AM,ChIJWY5Kfvd3X0YRhL4lfH2YcRg
Glenn Miller Café,Jazz Bar,"Brunnsgatan 21A, 111 38 Stockholm, Sweden",59.336492099999994,18.0665646,4.5,594,MODERATE,"Live jazz performances in an intimate, candlelit cafe/bar decorated with music ephemera.",,https://www.glennmillercafe.se/?utm_source=google,Monday: 6:00 PM – 12:00 AM; Tuesday: 6:00 PM – 12:00 AM; Wednesday: 6:00 PM – 12:00 AM; Thursday: 6:00 PM – 12:00 AM; Friday: 6:00 PM – 12:00 AM; Saturday: 6:00 PM – 12:00 AM; Sunday: Closed,ChIJbz3gN1KcX0YRCpnnqavYTNQ
